disaster.event,user.anon,latitude,longitude.anon,time
01_Wipha,0,139.70273733,24.5595345943,2013-10-21 06:02:24
01_Wipha,0,139.61189455,24.4876794143,2013-10-21 13:14:03
01_Wipha,0,139.5697602,24.4879778743,2013-10-21 21:39:42
01_Wipha,0,139.56943632,24.5096092843,2013-10-21 22:04:57
01_Wipha,0,139.70152913,24.5836634443,2013-10-23 00:35:14
01_Wipha,0,139.6794181,24.5861202843,2013-10-23 04:34:39
01_Wipha,0,139.69842551,24.5491363243,2013-10-23 07:53:33
01_Wipha,0,139.69842551,24.5491363243,2013-10-23 08:02:15
01_Wipha,0,139.65999808,24.4649937543,2013-10-23 08:22:33
01_Wipha,0,139.67606087,24.4459665143,2013-10-23 12:23:07
01_Wipha,0,139.67906295,24.4408929243,2013-10-24 11:46:02
01_Wipha,0,139.6750649,24.4459780043,2013-10-24 14:21:49
01_Wipha,0,139.56983855,24.4915116443,2013-10-24 19:15:42
01_Wipha,0,139.56985982,24.4915375443,2013-10-24 23:07:47
01_Wipha,0,139.67278307,24.4457649643,2013-10-25 10:53:38
01_Wipha,0,139.70012308,24.5798787843,2013-10-26 21:42:57
01_Wipha,0,139.6999877,24.5481616143,2013-10-27 11:06:53
01_Wipha,0,139.6999877,24.5481616143,2013-10-27 11:09:39
01_Wipha,0,139.54547392,24.4006648043,2013-10-27 16:30:51
01_Wipha,0,139.55608542,24.3984475043,2013-10-27 16:31:03
01_Wipha,0,139.59022711,24.4003599043,2013-10-27 16:34:46
